NORMALIZATION STATISTICS
======================================================================
Method: StandardScaler (z-score: (x - mean) / std)
Fitted on: 34341 training samples (80% stratified split)
Applied to: 42927 total samples

Feature          Train Mean    Train Std  Post-Norm Min  Post-Norm Max
----------------------------------------------------------------------
  A00               -0.0236       0.0615        -2.4269         3.8659
  A01               -0.1133       0.0451        -4.9534         4.0873
  A02                0.1610       0.0612        -6.2478         2.5795
  A03               -0.1334       0.0577        -3.2145         3.9330
  A04                0.0585       0.0480        -6.3065         3.7098
  A05                0.0590       0.0615        -3.4635         3.0122
  A06               -0.0615       0.0757        -3.1701         4.4607
  A07                0.0964       0.0646        -3.6873         3.3100
  A08                0.0072       0.0481        -5.0638         4.0035
  A09                0.2216       0.0526        -5.7281         4.0387
  A10                0.0491       0.0763        -3.7405         3.6509
  A11               -0.0013       0.0559        -4.2036         3.5954
  A12               -0.2378       0.0501        -3.5087         9.0152
  A13               -0.0727       0.0442        -4.4182         5.7026
  A14                0.1126       0.0738        -6.7241         2.7936
  A15               -0.0132       0.0667        -3.3484         3.3010
  A16               -0.1919       0.0843        -2.3938         4.9912
  A17                0.0196       0.0672        -4.9039         3.8166
  A18               -0.0809       0.0503        -4.2159         4.0883
  A19               -0.1301       0.0755        -3.4906         3.9258
  A20               -0.2115       0.0894        -2.2624         4.5250
  A21                0.2017       0.0784        -6.4166         2.8317
  A22                0.0169       0.0781        -3.1480         3.4275
  A23               -0.0533       0.0717        -4.2135         3.3389
  A24                0.0863       0.0521        -5.4952         2.5967
  A25                0.0188       0.0713        -3.8002         3.3833
  A26               -0.1243       0.0602        -3.9953         4.3234
  A27               -0.0027       0.0496        -4.8637         5.2898
  A28               -0.1154       0.0623        -3.5523         4.3169
  A29               -0.0541       0.0677        -4.3089         5.5068
  A30                0.0151       0.0524        -4.2326         4.9782
  A31                0.1466       0.0594        -4.1279         3.6732
  A32                0.0120       0.0752        -3.6169         3.7360
  A33               -0.0663       0.0697        -3.8831         4.4545
  A34               -0.0453       0.0808        -4.0705         2.5401
  A35                0.0352       0.0811        -3.4456         2.9713
  A36               -0.0384       0.0589        -4.0378         3.2653
  A37                0.0053       0.0684        -3.2089         2.9475
  A38                0.0213       0.0600        -4.1703         3.7139
  A39                0.0103       0.0712        -3.4644         4.5837
  A40                0.0805       0.0528        -4.6761         3.4002
  A41                0.0159       0.0604        -3.3472         5.3170
  A42               -0.1379       0.0507        -3.2278         6.2647
  A43                0.2083       0.0839        -5.1236         2.4478
  A44                0.1219       0.0494        -6.0956         2.6315
  A45                0.1262       0.0644        -3.9831         3.7069
  A46                0.0618       0.0725        -3.6076         3.1852
  A47                0.1664       0.1042        -2.6875         3.7296
  A48                0.0569       0.0588        -5.8025         3.3154
  A49                0.1293       0.0729        -4.4191         2.4796
  A50                0.0133       0.0463        -5.7264         4.6556
  A51                0.0388       0.0998        -2.9120         2.7172
  A52                0.1063       0.0486        -7.5312         3.1578
  A53               -0.0134       0.0719        -2.8937         4.7466
  A54                0.1830       0.0539        -4.4247         4.6607
  A55               -0.1357       0.0415        -3.7843         5.4056
  A56               -0.1321       0.0400        -6.2920         5.5191
  A57               -0.0852       0.0548        -4.5895         4.8239
  A58               -0.1288       0.0563        -4.8845         4.3096
  A59               -0.1454       0.0567        -4.9059         4.0466
  A60                0.0719       0.0681        -4.9939         3.5005
  A61               -0.0953       0.0765        -2.4740         7.0587
  A62                0.0738       0.0605        -6.6406         3.6234
  A63               -0.0658       0.0707        -2.9760         4.2775
  GCVI               3.5178       2.2984        -1.9656         7.0721
  L8_blue         9728.5049    3601.3038        -2.7014         9.5645
  L8_green       11048.7663    3301.1129        -3.3470         9.5085
  L8_nir         19335.6120    2703.4071        -7.1523         7.9349
  L8_red         10756.4964    3431.3559        -3.1348         9.2050
  L8_swir1       14058.4035    1497.6861        -9.3867         7.2686
  L8_swir2       11726.0606    1494.9099        -7.8440         6.2585
  NDVI               0.5965       0.2603        -4.2587         1.5468
  NDWI               0.1758       0.1705        -4.2331         3.9207
  Precipitation       7.1345       1.8961        -3.5162         1.6458
  blue             561.7995     938.0182        -0.5989        13.4051
  green            763.1507     899.2185        -0.8487        14.1065
  nir             2460.5171     871.3279        -2.8239        11.2523
  red              703.8886     916.6569        -0.7679        12.9603
  swir1           1701.6284     516.0171        -3.2976         7.2156
  swir2           1078.8800     539.2061        -2.0009         9.2342

Post-normalization verification (should be ~0 mean, ~1 std on train):
  Train mean range: [-0.000000, 0.000000]
  Train std range:  [1.000000, 1.000000]
